epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.5011,1.83623,1.42734,1.11467,0.70346,0.50246,0.59455,0.27988,1.72207,1.21461,1.04277,0.000332684,0.000332684,0.0670643
2,156.422,1.75106,1.1781,1.08571,0.73772,0.54385,0.61344,0.2743,1.81338,1.12386,1.04032,0.00065283,0.00065283,0.0340511
3,233.551,1.70636,1.11556,1.06694,0.75171,0.58412,0.66879,0.31169,1.73769,1.0608,1.03665,0.000959776,0.000959776,0.00102475
4,309.235,1.67537,1.07312,1.056,0.76185,0.60649,0.69674,0.33396,1.67342,1.01318,1.02741,0.0009406,0.0009406,0.0009406
5,384.782,1.65028,1.04468,1.04651,0.7569,0.60246,0.69454,0.33795,1.6845,1.04207,1.02734,0.0009208,0.0009208,0.0009208
6,461.756,1.63047,1.00852,1.03606,0.77499,0.65302,0.7253,0.35576,1.64624,0.96222,1.00895,0.000901,0.000901,0.000901
7,537.311,1.61233,1.00018,1.03829,0.78181,0.6501,0.74287,0.3672,1.62029,0.94172,0.99987,0.0008812,0.0008812,0.0008812
8,612.948,1.59528,0.983,1.02706,0.76364,0.65196,0.73446,0.3654,1.62018,0.9577,1.00232,0.0008614,0.0008614,0.0008614
9,689.174,1.57713,0.96167,1.02323,0.79973,0.64004,0.74517,0.36376,1.63916,0.91168,0.99927,0.0008416,0.0008416,0.0008416
10,765.041,1.57076,0.9499,1.02164,0.79201,0.65459,0.74726,0.37674,1.57743,0.93965,0.99353,0.0008218,0.0008218,0.0008218
11,840.861,1.5656,0.94338,1.01683,0.78775,0.67427,0.75454,0.37849,1.59212,0.90407,0.99261,0.000802,0.000802,0.000802
12,916.626,1.55201,0.93138,1.01357,0.79222,0.66277,0.75487,0.37206,1.63688,0.90582,1.00016,0.0007822,0.0007822,0.0007822
13,993.079,1.53917,0.91802,1.00752,0.7944,0.67424,0.76379,0.38918,1.59568,0.88883,0.99305,0.0007624,0.0007624,0.0007624
14,1067.99,1.52965,0.91173,1.00773,0.79569,0.6639,0.7563,0.38802,1.56269,0.89492,0.98062,0.0007426,0.0007426,0.0007426
15,1143.8,1.51752,0.90366,1.00553,0.78763,0.67696,0.76529,0.38807,1.58644,0.89547,0.99126,0.0007228,0.0007228,0.0007228
16,1219.6,1.51848,0.89526,1.00072,0.79505,0.67383,0.75367,0.37489,1.62845,0.89097,0.99269,0.000703,0.000703,0.000703
17,1295.02,1.5132,0.88705,0.99777,0.80154,0.67494,0.76406,0.38876,1.57865,0.8713,0.98235,0.0006832,0.0006832,0.0006832
18,1370.55,1.50764,0.87717,0.99324,0.80108,0.68792,0.77654,0.40036,1.57881,0.84694,0.98493,0.0006634,0.0006634,0.0006634
19,1447.14,1.49351,0.87106,0.994,0.81225,0.67748,0.77014,0.39761,1.56247,0.85619,0.97705,0.0006436,0.0006436,0.0006436
20,1522.57,1.49506,0.86703,0.99033,0.80617,0.68076,0.77287,0.40488,1.52473,0.85648,0.97131,0.0006238,0.0006238,0.0006238
21,1597.66,1.48392,0.86387,0.9919,0.82096,0.6801,0.7765,0.41029,1.52475,0.84674,0.97616,0.000604,0.000604,0.000604
22,1674.71,1.47909,0.85722,0.99092,0.81213,0.68881,0.78261,0.41132,1.49862,0.84671,0.96682,0.0005842,0.0005842,0.0005842
23,1749.8,1.46855,0.85652,0.98861,0.80724,0.69889,0.78647,0.41991,1.47231,0.82535,0.96335,0.0005644,0.0005644,0.0005644
24,1825.03,1.46172,0.85241,0.98225,0.81543,0.68412,0.78066,0.4126,1.50541,0.83853,0.96687,0.0005446,0.0005446,0.0005446
25,1901.13,1.45852,0.84371,0.98197,0.80674,0.69217,0.78135,0.41775,1.48832,0.82406,0.9676,0.0005248,0.0005248,0.0005248
26,1976.45,1.45327,0.83622,0.983,0.82003,0.69012,0.7842,0.431,1.44329,0.82305,0.95935,0.000505,0.000505,0.000505
27,2051.83,1.43475,0.82377,0.97242,0.81574,0.69217,0.78846,0.42682,1.44669,0.81107,0.9561,0.0004852,0.0004852,0.0004852
28,2127.78,1.44186,0.82549,0.9775,0.81754,0.69799,0.78967,0.43409,1.41556,0.80197,0.95147,0.0004654,0.0004654,0.0004654
29,2203.76,1.44138,0.82508,0.97697,0.83067,0.68054,0.79181,0.438,1.418,0.8119,0.9524,0.0004456,0.0004456,0.0004456
30,2279.3,1.42294,0.81568,0.97364,0.81879,0.69342,0.79495,0.43584,1.40772,0.80084,0.95407,0.0004258,0.0004258,0.0004258
31,2355.05,1.41784,0.80452,0.97172,0.82621,0.69663,0.79821,0.44083,1.42483,0.79241,0.95357,0.000406,0.000406,0.000406
32,2431.52,1.42312,0.80824,0.97069,0.83528,0.68859,0.7922,0.44103,1.38732,0.8053,0.94966,0.0003862,0.0003862,0.0003862
33,2506.78,1.41459,0.80749,0.96972,0.84126,0.68121,0.79361,0.44338,1.38352,0.80125,0.94394,0.0003664,0.0003664,0.0003664
34,2582.72,1.40316,0.79393,0.96625,0.81896,0.70334,0.79571,0.44185,1.39977,0.78702,0.94407,0.0003466,0.0003466,0.0003466
35,2658.61,1.40007,0.79014,0.96464,0.83432,0.68949,0.79708,0.4467,1.37984,0.79724,0.94368,0.0003268,0.0003268,0.0003268
36,2733.97,1.39801,0.78587,0.96384,0.84075,0.69217,0.80245,0.44936,1.37475,0.78423,0.94094,0.000307,0.000307,0.000307
37,2809.61,1.39497,0.78661,0.96304,0.82474,0.69377,0.79574,0.44859,1.37751,0.79263,0.941,0.0002872,0.0002872,0.0002872
38,2886.34,1.38686,0.78262,0.96248,0.80974,0.70425,0.7972,0.44491,1.38912,0.78951,0.94435,0.0002674,0.0002674,0.0002674
39,2961.79,1.38867,0.77923,0.9617,0.82811,0.70057,0.79964,0.44946,1.37841,0.78171,0.94267,0.0002476,0.0002476,0.0002476
40,3037.53,1.37655,0.77391,0.95715,0.83505,0.69888,0.80652,0.45628,1.35492,0.77472,0.93895,0.0002278,0.0002278,0.0002278
41,3121.88,1.31376,0.70603,0.93875,0.83286,0.68556,0.79808,0.44542,1.38171,0.7821,0.94173,0.000208,0.000208,0.000208
42,3196.38,1.30565,0.69578,0.93385,0.83757,0.70045,0.80316,0.45049,1.37413,0.78343,0.94219,0.0001882,0.0001882,0.0001882
43,3270.7,1.30559,0.69454,0.93205,0.83708,0.68837,0.80166,0.45425,1.366,0.77503,0.94042,0.0001684,0.0001684,0.0001684
44,3346.7,1.29589,0.6878,0.9298,0.83688,0.68863,0.79955,0.45388,1.36593,0.77828,0.94076,0.0001486,0.0001486,0.0001486
45,3421.43,1.28986,0.68665,0.93076,0.83865,0.69754,0.80234,0.45568,1.3636,0.77299,0.94151,0.0001288,0.0001288,0.0001288
46,3495.64,1.28304,0.6794,0.9285,0.84023,0.68904,0.80028,0.45435,1.36596,0.77522,0.94119,0.000109,0.000109,0.000109
47,3570.84,1.28108,0.67737,0.92756,0.83897,0.69701,0.7999,0.45405,1.36759,0.77391,0.94145,8.92e-05,8.92e-05,8.92e-05
48,3645.75,1.27505,0.67064,0.92352,0.82713,0.70604,0.8028,0.45717,1.35453,0.77095,0.93838,6.94e-05,6.94e-05,6.94e-05
49,3719.82,1.27084,0.66966,0.92506,0.83182,0.7,0.80182,0.45629,1.3559,0.76749,0.93774,4.96e-05,4.96e-05,4.96e-05
50,3795.72,1.27038,0.66872,0.92358,0.82733,0.70582,0.80533,0.45804,1.35414,0.76957,0.93958,2.98e-05,2.98e-05,2.98e-05
