epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.532,3.46971,6.23064,3.58073,0.01104,0.10986,0.00731,0.00163,4.17156,38.384,3.79732,0.000473446,0.000473446,0.000473446
2,64.0121,2.53995,3.17353,2.25538,0.36336,0.32259,0.23162,0.08038,2.51802,2.68558,2.34193,0.000945078,0.000945078,0.000945078
3,94.4533,2.13369,1.98084,1.91604,0.59795,0.68267,0.664,0.25818,2.17389,2.69876,1.94392,0.00141199,0.00141199,0.00141199
4,124.598,1.90704,1.53956,1.7453,0.81417,0.62492,0.80239,0.42146,1.81876,1.52662,1.75333,0.00140778,0.00140778,0.00140778
5,154.711,1.73217,1.27035,1.59433,0.88186,0.84192,0.92687,0.51247,1.57091,1.04728,1.55397,0.00140071,0.00140071,0.00140071
6,184.747,1.62313,1.12588,1.53218,0.85866,0.80097,0.8838,0.50493,1.49749,1.34963,1.50574,0.00139363,0.00139363,0.00139363
7,214.62,1.53629,1.04515,1.44695,0.87309,0.85682,0.92638,0.46222,1.79148,1.03331,1.57533,0.00138656,0.00138656,0.00138656
8,244.959,1.50029,0.97941,1.44957,0.9282,0.9091,0.96555,0.57902,1.35182,0.87124,1.3849,0.00137949,0.00137949,0.00137949
9,275.057,1.44928,0.92891,1.40886,0.91626,0.90715,0.97323,0.60955,1.34807,0.84299,1.38787,0.00137241,0.00137241,0.00137241
10,305.537,1.39865,0.88427,1.38047,0.92055,0.90776,0.95733,0.61297,1.35368,0.79229,1.42928,0.00136534,0.00136534,0.00136534
11,336.24,1.35881,0.85585,1.35584,0.93818,0.93159,0.97896,0.62724,1.32301,0.74754,1.3445,0.00135826,0.00135826,0.00135826
12,366.51,1.32336,0.83178,1.34778,0.95677,0.93954,0.98029,0.64179,1.24514,0.71719,1.34001,0.00135119,0.00135119,0.00135119
13,396.878,1.29801,0.7854,1.31456,0.9405,0.94684,0.98264,0.65759,1.21053,0.74442,1.28762,0.00134412,0.00134412,0.00134412
14,427.059,1.2613,0.75745,1.28246,0.94307,0.95205,0.98773,0.68742,1.14654,0.66191,1.27683,0.00133704,0.00133704,0.00133704
15,457.3,1.25711,0.73949,1.28686,0.93365,0.9297,0.97133,0.64272,1.24588,0.71478,1.31888,0.00132997,0.00132997,0.00132997
16,487.533,1.22391,0.73935,1.27728,0.95926,0.95861,0.98278,0.68877,1.15565,0.65095,1.28429,0.0013229,0.0013229,0.0013229
17,517.701,1.22587,0.72554,1.26239,0.9676,0.9718,0.98835,0.69719,1.14562,0.64608,1.29144,0.00131582,0.00131582,0.00131582
18,548.307,1.18416,0.71086,1.25154,0.9602,0.96627,0.98936,0.69269,1.13852,0.61986,1.28144,0.00130875,0.00130875,0.00130875
19,579.112,1.16757,0.69011,1.22824,0.94874,0.94792,0.98469,0.69258,1.13812,0.64113,1.26179,0.00130168,0.00130168,0.00130168
20,609.589,1.1591,0.67377,1.22857,0.976,0.96956,0.99185,0.7181,1.06814,0.57339,1.21766,0.0012946,0.0012946,0.0012946
21,639.859,1.1426,0.66182,1.22287,0.96387,0.98331,0.99119,0.71463,1.05691,0.58882,1.19717,0.00128753,0.00128753,0.00128753
22,670.029,1.13393,0.6573,1.20717,0.97106,0.97522,0.99187,0.72789,1.04857,0.58774,1.22035,0.00128046,0.00128046,0.00128046
23,700.166,1.10943,0.64822,1.20114,0.96381,0.98126,0.992,0.74197,0.9827,0.55115,1.18404,0.00127338,0.00127338,0.00127338
24,730.541,1.10752,0.64895,1.20177,0.97841,0.95332,0.9847,0.68322,1.13137,0.62205,1.23078,0.00126631,0.00126631,0.00126631
25,760.858,1.0984,0.64385,1.19518,0.96198,0.97712,0.99048,0.7416,0.9979,0.55455,1.18712,0.00125923,0.00125923,0.00125923
26,791.506,1.08293,0.62532,1.1843,0.9809,0.97947,0.99344,0.75483,0.96685,0.54162,1.15252,0.00125216,0.00125216,0.00125216
27,822.267,1.08256,0.62564,1.19634,0.98131,0.97414,0.9928,0.74707,0.99335,0.54612,1.16563,0.00124509,0.00124509,0.00124509
28,852.818,1.05932,0.61319,1.16921,0.974,0.98495,0.99348,0.75108,0.96286,0.535,1.14153,0.00123801,0.00123801,0.00123801
29,883.618,1.05691,0.6123,1.17113,0.97762,0.9925,0.99259,0.75389,0.95614,0.51881,1.15779,0.00123094,0.00123094,0.00123094
