epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.8073,1.65996,2.75051,1.24445,0.88838,0.89489,0.94345,0.60539,1.28582,0.95066,1.13319,0.000475971,0.000475971,0.000475971
2,198.731,1.44179,1.40872,1.17162,0.91544,0.91222,0.96343,0.65531,1.19351,0.82819,1.10365,0.000942876,0.000942876,0.000942876
3,300.195,1.34583,1.08807,1.14304,0.89952,0.90277,0.94806,0.63188,1.23977,0.81399,1.11157,0.00140035,0.00140035,0.00140035
