epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5884.12,1.51146,0.59318,0.94946,0.83075,0.76734,0.84393,0.50252,1.41936,0.55672,0.92465,0.00066175,0.00066175,0.00066175
43,6024.64,1.50467,0.58903,0.94608,0.84,0.75839,0.84315,0.50491,1.40876,0.55769,0.92427,0.0006535,0.0006535,0.0006535
44,6164.73,1.49688,0.58573,0.94241,0.8399,0.76171,0.84565,0.5058,1.4059,0.55302,0.92368,0.00064525,0.00064525,0.00064525
45,6304.95,1.49441,0.58563,0.94608,0.83274,0.77002,0.84361,0.51145,1.39197,0.55432,0.91879,0.000637,0.000637,0.000637
46,6445.24,1.5055,0.58883,0.94698,0.8496,0.75827,0.84183,0.50901,1.39692,0.55601,0.92194,0.00062875,0.00062875,0.00062875
47,6585.15,1.4865,0.5782,0.93912,0.84452,0.75944,0.84543,0.51186,1.40539,0.5532,0.91642,0.0006205,0.0006205,0.0006205
48,6725.54,1.48558,0.57864,0.94022,0.84686,0.75094,0.84198,0.50864,1.3993,0.55457,0.91598,0.00061225,0.00061225,0.00061225
49,6865.09,1.48492,0.57671,0.94017,0.84706,0.76152,0.84904,0.50936,1.38628,0.54723,0.9167,0.000604,0.000604,0.000604
50,7005.62,1.46674,0.5708,0.9362,0.85402,0.75213,0.84604,0.51201,1.39394,0.55028,0.91719,0.00059575,0.00059575,0.00059575
51,7145.43,1.48224,0.57615,0.94087,0.84801,0.7604,0.84847,0.51436,1.39432,0.54331,0.91802,0.0005875,0.0005875,0.0005875
52,7285.78,1.47392,0.57081,0.93736,0.84361,0.76632,0.84684,0.51261,1.38756,0.54069,0.91683,0.00057925,0.00057925,0.00057925
53,7425.91,1.47072,0.57173,0.94185,0.85643,0.76152,0.84702,0.51413,1.38977,0.54305,0.91736,0.000571,0.000571,0.000571
54,7565.27,1.47251,0.56746,0.93824,0.84493,0.76913,0.84805,0.51327,1.38546,0.54223,0.91648,0.00056275,0.00056275,0.00056275
55,7705.98,1.45892,0.56524,0.9366,0.83602,0.77445,0.84751,0.51515,1.38968,0.54098,0.91505,0.0005545,0.0005545,0.0005545
56,7845.83,1.45962,0.56176,0.93528,0.85503,0.76107,0.8486,0.51651,1.39104,0.5435,0.91773,0.00054625,0.00054625,0.00054625
57,7986.77,1.46623,0.56629,0.93557,0.84106,0.77562,0.85047,0.51565,1.38499,0.54139,0.91482,0.000538,0.000538,0.000538
58,8127.18,1.45866,0.56407,0.93603,0.8463,0.76846,0.84899,0.51566,1.3867,0.54282,0.91535,0.00052975,0.00052975,0.00052975
59,8272.62,1.44615,0.55851,0.93177,0.85062,0.76532,0.85041,0.51665,1.38626,0.53902,0.91544,0.0005215,0.0005215,0.0005215
60,8425.66,1.44907,0.56003,0.93224,0.85613,0.76149,0.85162,0.51702,1.38746,0.53658,0.91544,0.00051325,0.00051325,0.00051325
61,8565.69,1.45507,0.55858,0.93218,0.83803,0.77472,0.85103,0.51745,1.39279,0.5356,0.91623,0.000505,0.000505,0.000505
62,8706.06,1.44592,0.55437,0.93092,0.83752,0.77149,0.85159,0.51857,1.38581,0.53601,0.91592,0.00049675,0.00049675,0.00049675
63,8846.33,1.44254,0.55135,0.93002,0.83452,0.77964,0.8516,0.52049,1.38424,0.53021,0.91566,0.0004885,0.0004885,0.0004885
64,8986.43,1.44681,0.55256,0.92799,0.85425,0.76376,0.85284,0.52279,1.38092,0.53002,0.91597,0.00048025,0.00048025,0.00048025
65,9127.38,1.43789,0.55183,0.92996,0.83717,0.7774,0.85347,0.5245,1.37001,0.53037,0.9137,0.000472,0.000472,0.000472
66,9266.72,1.43301,0.54604,0.9263,0.83956,0.7738,0.85215,0.52225,1.37062,0.53093,0.91427,0.00046375,0.00046375,0.00046375
67,9407.13,1.42831,0.54332,0.9282,0.8446,0.77136,0.85187,0.52125,1.37547,0.53362,0.9151,0.0004555,0.0004555,0.0004555
68,9546.63,1.4306,0.54577,0.92586,0.85049,0.76913,0.85307,0.52255,1.36983,0.52956,0.91548,0.00044725,0.00044725,0.00044725
69,9686.7,1.42127,0.54176,0.92311,0.84098,0.78083,0.85622,0.52155,1.37287,0.52743,0.91555,0.000439,0.000439,0.000439
70,9826.72,1.42158,0.54025,0.92562,0.83966,0.7849,0.85479,0.52483,1.37154,0.52692,0.91348,0.00043075,0.00043075,0.00043075
71,9966.33,1.41756,0.53868,0.92391,0.84622,0.77852,0.85509,0.52528,1.37189,0.52781,0.91216,0.0004225,0.0004225,0.0004225
72,10106.8,1.41858,0.53948,0.92368,0.84429,0.77942,0.85401,0.52331,1.37131,0.52787,0.91244,0.00041425,0.00041425,0.00041425
73,10246.4,1.42139,0.54129,0.92271,0.83755,0.78568,0.85543,0.52392,1.36884,0.52676,0.91257,0.000406,0.000406,0.000406
74,10386.5,1.41863,0.53825,0.92136,0.83396,0.78654,0.85532,0.52514,1.36484,0.52336,0.91371,0.00039775,0.00039775,0.00039775
75,10526.5,1.41206,0.53711,0.9235,0.83002,0.78869,0.85485,0.52613,1.362,0.52625,0.91277,0.0003895,0.0003895,0.0003895
76,10666.6,1.39379,0.52754,0.91966,0.84278,0.7745,0.85458,0.52566,1.36027,0.52332,0.91156,0.00038125,0.00038125,0.00038125
77,10807.3,1.40821,0.5333,0.92036,0.85056,0.76913,0.8545,0.52626,1.36271,0.52229,0.91159,0.000373,0.000373,0.000373
78,10946.9,1.39881,0.53044,0.92145,0.83866,0.78166,0.85656,0.52635,1.36023,0.52133,0.90965,0.00036475,0.00036475,0.00036475
