epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6219,1.60578,2.74126,1.16711,0.81946,0.71584,0.81878,0.48426,1.42554,1.7237,1.15379,0.000473446,0.000473446,0.000473446
2,54.0722,1.2848,1.38337,1.07269,0.90156,0.90216,0.96997,0.6575,1.11535,0.85027,1.03344,0.000945078,0.000945078,0.000945078
3,79.1277,1.20069,0.97169,1.05817,0.942,0.94175,0.9741,0.69235,1.08761,0.73196,1.05127,0.00141199,0.00141199,0.00141199
4,103.98,1.15075,0.82392,1.04279,0.93387,0.89976,0.93238,0.65848,1.11576,0.86448,1.06013,0.00140778,0.00140778,0.00140778
5,128.774,1.08875,0.72344,1.01706,0.97029,0.96367,0.98793,0.74551,0.95405,0.59105,0.99241,0.00140071,0.00140071,0.00140071
6,154.152,1.04267,0.67778,0.99814,0.96274,0.94886,0.98192,0.70196,1.03777,0.61166,1.0013,0.00139363,0.00139363,0.00139363
7,179.569,1.02323,0.6401,0.98648,0.96308,0.89191,0.96667,0.72321,0.96643,0.70578,0.98022,0.00138656,0.00138656,0.00138656
8,205.05,0.99187,0.6079,0.98059,0.9802,0.95753,0.98989,0.74892,0.95273,0.54111,0.95974,0.00137949,0.00137949,0.00137949
9,230.785,0.94199,0.58331,0.96792,0.97151,0.96139,0.992,0.76966,0.88628,0.52006,0.95052,0.00137241,0.00137241,0.00137241
10,256.343,0.96636,0.57063,0.97148,0.96165,0.96535,0.98767,0.77898,0.89034,0.52075,0.96094,0.00136534,0.00136534,0.00136534
11,281.542,0.95054,0.57134,0.96982,0.97582,0.99033,0.99358,0.77949,0.86669,0.48309,0.94283,0.00135826,0.00135826,0.00135826
12,306.848,0.91071,0.54544,0.95585,0.97233,0.96835,0.98655,0.76255,0.89853,0.51188,0.96772,0.00135119,0.00135119,0.00135119
13,331.95,0.913,0.5398,0.95671,0.9758,0.97281,0.99182,0.78386,0.84447,0.4896,0.94671,0.00134412,0.00134412,0.00134412
14,356.842,0.88198,0.5206,0.93672,0.98467,0.97909,0.99219,0.78427,0.84963,0.46127,0.93371,0.00133704,0.00133704,0.00133704
15,382.269,0.8827,0.51245,0.93944,0.97248,0.96276,0.98604,0.78174,0.86934,0.48564,0.96319,0.00132997,0.00132997,0.00132997
16,407.813,0.86027,0.50323,0.94065,0.98259,0.98741,0.99421,0.80128,0.7931,0.43343,0.92578,0.0013229,0.0013229,0.0013229
17,433.426,0.84678,0.49388,0.92526,0.9738,0.98264,0.99095,0.79549,0.8218,0.43538,0.94033,0.00131582,0.00131582,0.00131582
18,459.119,0.83776,0.49081,0.92619,0.98532,0.98141,0.99264,0.79371,0.82068,0.43523,0.93054,0.00130875,0.00130875,0.00130875
19,484.964,0.82684,0.48278,0.92213,0.97738,0.95751,0.98505,0.79068,0.80781,0.4519,0.93246,0.00130168,0.00130168,0.00130168
20,510.212,0.82246,0.47492,0.92071,0.98535,0.98999,0.99241,0.80704,0.76576,0.42264,0.90729,0.0012946,0.0012946,0.0012946
21,535.388,0.80037,0.45985,0.91714,0.98949,0.985,0.99421,0.819,0.74051,0.40511,0.89895,0.00128753,0.00128753,0.00128753
22,560.512,0.7981,0.46198,0.91095,0.98218,0.98978,0.99331,0.80554,0.78406,0.42097,0.91978,0.00128046,0.00128046,0.00128046
23,585.509,0.79778,0.45671,0.90911,0.98657,0.98656,0.99371,0.8176,0.76089,0.40887,0.90561,0.00127338,0.00127338,0.00127338
24,610.666,0.78383,0.45519,0.90544,0.99116,0.99239,0.99453,0.81913,0.75162,0.4037,0.9031,0.00126631,0.00126631,0.00126631
25,636.126,0.78852,0.45479,0.90619,0.99252,0.98266,0.99453,0.82721,0.72642,0.40091,0.88641,0.00125923,0.00125923,0.00125923
26,661.763,0.78017,0.45784,0.90671,0.97916,0.97889,0.99267,0.80707,0.80402,0.42331,0.92663,0.00125216,0.00125216,0.00125216
27,687.446,0.7753,0.44102,0.89899,0.98538,0.98552,0.99395,0.82935,0.73317,0.38232,0.89239,0.00124509,0.00124509,0.00124509
28,713.425,0.76489,0.43644,0.904,0.98125,0.98361,0.99357,0.8039,0.80133,0.40011,0.93046,0.00123801,0.00123801,0.00123801
29,738.713,0.75378,0.43128,0.89667,0.99603,0.9904,0.99476,0.84505,0.71131,0.36951,0.88492,0.00123094,0.00123094,0.00123094
30,763.994,0.76651,0.42611,0.90723,0.99205,0.99218,0.99388,0.83681,0.72508,0.3708,0.89415,0.00122387,0.00122387,0.00122387
31,789.483,0.74958,0.42086,0.8972,0.98956,0.98876,0.99466,0.83879,0.71448,0.36938,0.88625,0.00121679,0.00121679,0.00121679
32,814.703,0.73447,0.4132,0.89458,0.99108,0.99375,0.99485,0.84162,0.71328,0.35968,0.8976,0.00120972,0.00120972,0.00120972
33,839.842,0.74196,0.42005,0.89526,0.9897,0.98629,0.99344,0.82869,0.72459,0.36243,0.90026,0.00120265,0.00120265,0.00120265
34,865.224,0.72955,0.41436,0.88929,0.98944,0.99355,0.99456,0.8358,0.72209,0.36216,0.89707,0.00119557,0.00119557,0.00119557
35,890.715,0.73333,0.41235,0.88856,0.98778,0.99589,0.9948,0.83395,0.71453,0.36623,0.897,0.0011885,0.0011885,0.0011885
36,916.361,0.72409,0.41674,0.88663,0.99638,0.99749,0.99496,0.84519,0.66687,0.34049,0.87509,0.00118143,0.00118143,0.00118143
37,942.223,0.71394,0.40835,0.88562,0.98464,0.9896,0.99438,0.85461,0.69312,0.36132,0.88579,0.00117435,0.00117435,0.00117435
38,967.864,0.71023,0.40051,0.88565,0.99725,0.99483,0.99492,0.8636,0.65533,0.34237,0.87416,0.00116728,0.00116728,0.00116728
39,993.13,0.72022,0.40239,0.88517,0.99494,0.99707,0.99465,0.82958,0.74042,0.36007,0.90698,0.00116021,0.00116021,0.00116021
40,1018.4,0.71869,0.39928,0.88601,0.99032,0.9892,0.99451,0.83842,0.72165,0.36481,0.90348,0.00115313,0.00115313,0.00115313
41,1043.7,0.70829,0.39869,0.88485,0.986,0.98694,0.99191,0.8372,0.73646,0.36444,0.9134,0.00114606,0.00114606,0.00114606
42,1069.05,0.70108,0.39593,0.88017,0.99449,0.99964,0.99485,0.85349,0.66081,0.32953,0.87231,0.00113898,0.00113898,0.00113898
43,1094.32,0.69209,0.39032,0.87902,0.99523,0.99623,0.99487,0.84048,0.69808,0.34464,0.89718,0.00113191,0.00113191,0.00113191
44,1119.8,0.6967,0.38532,0.8767,0.99584,0.99242,0.99474,0.8552,0.68393,0.33871,0.87366,0.00112484,0.00112484,0.00112484
45,1140.07,0.69271,0.38753,0.88219,0.99903,0.9975,0.995,0.85945,0.67386,0.3352,0.87745,0.00111776,0.00111776,0.00111776
46,1165.96,0.67958,0.38398,0.87513,0.99854,0.99802,0.995,0.864,0.65739,0.32587,0.87716,0.00111069,0.00111069,0.00111069
47,1191.62,0.6977,0.39181,0.88192,0.99179,0.9983,0.99447,0.85456,0.66427,0.33697,0.87811,0.00110362,0.00110362,0.00110362
48,1216.92,0.68926,0.38492,0.8837,0.99481,0.99928,0.99499,0.86053,0.66894,0.33371,0.87787,0.00109654,0.00109654,0.00109654
49,1242.17,0.68028,0.37862,0.87831,0.99797,0.99875,0.995,0.86079,0.65223,0.31866,0.87361,0.00108947,0.00108947,0.00108947
50,1267.32,0.68167,0.37761,0.87352,0.99469,0.99527,0.99496,0.85712,0.65067,0.3269,0.87585,0.0010824,0.0010824,0.0010824
51,1292.35,0.67272,0.37564,0.87436,0.99263,0.9975,0.99486,0.85843,0.64667,0.32081,0.8726,0.00107532,0.00107532,0.00107532
52,1317.55,0.66163,0.37591,0.86901,0.99813,0.99913,0.995,0.8697,0.63258,0.31574,0.85921,0.00106825,0.00106825,0.00106825
53,1342.93,0.67222,0.37386,0.87739,0.99714,1,0.995,0.86974,0.6328,0.31876,0.86454,0.00106118,0.00106118,0.00106118
54,1368.34,0.65873,0.36914,0.86515,0.9925,0.99486,0.99496,0.84642,0.69881,0.33755,0.89068,0.0010541,0.0010541,0.0010541
55,1393.89,0.65979,0.3677,0.8745,0.99275,0.99537,0.99461,0.86489,0.62918,0.31702,0.86534,0.00104703,0.00104703,0.00104703
56,1419.83,0.65268,0.36641,0.86646,0.99742,0.99495,0.99495,0.83977,0.70422,0.33553,0.89413,0.00103995,0.00103995,0.00103995
57,1445.5,0.65486,0.36688,0.86822,0.99765,0.99857,0.99499,0.85764,0.64993,0.32114,0.87266,0.00103288,0.00103288,0.00103288
58,1470.66,0.65876,0.36519,0.87365,0.9972,0.99587,0.99499,0.86303,0.63219,0.31209,0.86356,0.00102581,0.00102581,0.00102581
59,1495.75,0.65061,0.35964,0.86793,0.99613,0.99397,0.99494,0.85755,0.65066,0.31682,0.86874,0.00101873,0.00101873,0.00101873
60,1520.95,0.64656,0.36006,0.86797,0.99618,0.99625,0.99491,0.86679,0.62689,0.30889,0.86417,0.00101166,0.00101166,0.00101166
61,1545.93,0.6409,0.35745,0.86824,0.99822,0.99625,0.995,0.87202,0.62254,0.3028,0.86666,0.00100459,0.00100459,0.00100459
62,1571.32,0.64072,0.35983,0.86567,0.99888,0.99776,0.995,0.86709,0.62785,0.3058,0.86111,0.000997513,0.000997513,0.000997513
63,1596.73,0.63532,0.3582,0.86426,0.99527,0.99325,0.9944,0.84405,0.68472,0.31903,0.88821,0.00099044,0.00099044,0.00099044
64,1621.98,0.62976,0.34944,0.86204,0.99552,0.99969,0.99486,0.8664,0.63522,0.30472,0.86544,0.000983366,0.000983366,0.000983366
65,1647.78,0.6289,0.35174,0.8592,0.99516,0.99875,0.995,0.86118,0.64521,0.30828,0.87173,0.000976293,0.000976293,0.000976293
66,1673.67,0.63392,0.35245,0.86506,0.99623,0.99875,0.995,0.86249,0.63384,0.3022,0.86892,0.000969219,0.000969219,0.000969219
67,1699.06,0.63896,0.35372,0.86575,0.99929,0.99875,0.995,0.86133,0.64289,0.30881,0.8688,0.000962146,0.000962146,0.000962146
68,1727.75,0.63521,0.35253,0.86275,0.99859,0.99611,0.995,0.86339,0.63476,0.30083,0.86242,0.000955072,0.000955072,0.000955072
69,1760.37,0.62504,0.34817,0.86342,0.98945,0.99464,0.99491,0.86028,0.6482,0.31092,0.86569,0.000947999,0.000947999,0.000947999
70,1792.28,0.61934,0.34427,0.85707,0.99853,0.99793,0.99499,0.86869,0.63382,0.30291,0.85916,0.000940925,0.000940925,0.000940925
71,1825.04,0.61935,0.34094,0.85532,0.99915,0.99712,0.995,0.87326,0.60948,0.29687,0.85779,0.000933851,0.000933851,0.000933851
72,1854.73,0.62354,0.34611,0.86683,0.99469,0.9992,0.99488,0.86507,0.63849,0.30241,0.86664,0.000926778,0.000926778,0.000926778
73,1880.46,0.62526,0.34724,0.85648,0.9955,0.99651,0.99499,0.85804,0.65212,0.30201,0.86965,0.000919704,0.000919704,0.000919704
74,1906.18,0.60761,0.33643,0.85481,0.99797,0.99988,0.995,0.86224,0.64071,0.29855,0.86491,0.000912631,0.000912631,0.000912631
75,1936.68,0.60782,0.33941,0.86005,0.99374,0.99499,0.99484,0.86869,0.61136,0.29304,0.85216,0.000905557,0.000905557,0.000905557
76,1969.55,0.61759,0.34082,0.86371,0.99737,0.99989,0.99499,0.87108,0.62182,0.29519,0.86447,0.000898484,0.000898484,0.000898484
77,2002.6,0.59896,0.33416,0.85392,0.99476,0.99966,0.99491,0.87664,0.60676,0.29593,0.85642,0.00089141,0.00089141,0.00089141
78,2034.91,0.60565,0.33538,0.85361,0.99917,1,0.995,0.88162,0.6029,0.28451,0.85357,0.000884337,0.000884337,0.000884337
79,2068.24,0.61545,0.33809,0.86035,0.99638,0.99836,0.9947,0.87682,0.60596,0.2912,0.85784,0.000877263,0.000877263,0.000877263
80,2100.26,0.59659,0.32796,0.85227,0.99624,0.99875,0.99494,0.87781,0.59824,0.2886,0.85741,0.00087019,0.00087019,0.00087019
81,2131.84,0.59618,0.33244,0.85093,0.99727,0.9957,0.99476,0.88475,0.58679,0.28165,0.847,0.000863116,0.000863116,0.000863116
82,2163.63,0.59174,0.32854,0.85182,0.99458,0.99792,0.99499,0.87485,0.59188,0.28042,0.8487,0.000856042,0.000856042,0.000856042
83,2196.58,0.59516,0.32788,0.8555,0.99555,0.99875,0.99497,0.87687,0.59665,0.28252,0.85207,0.000848969,0.000848969,0.000848969
84,2228.27,0.60065,0.3305,0.85625,0.99875,0.99771,0.99495,0.87036,0.61708,0.29091,0.86167,0.000841895,0.000841895,0.000841895
85,2259.98,0.60112,0.3283,0.85499,0.99779,0.99904,0.99496,0.87868,0.58976,0.28289,0.85422,0.000834822,0.000834822,0.000834822
86,2292.07,0.61442,0.33349,0.85929,0.99722,0.9975,0.995,0.8732,0.60215,0.28225,0.86249,0.000827748,0.000827748,0.000827748
87,2323.68,0.58417,0.32558,0.84938,0.99703,0.99841,0.99498,0.8781,0.59863,0.28419,0.85404,0.000820675,0.000820675,0.000820675
88,2355.47,0.58567,0.32443,0.84924,0.99819,0.99875,0.995,0.88527,0.58796,0.27464,0.84938,0.000813601,0.000813601,0.000813601
89,2387.77,0.58382,0.32413,0.85118,0.9956,1,0.99494,0.86665,0.62145,0.28832,0.86692,0.000806528,0.000806528,0.000806528
90,2418.99,0.57918,0.3216,0.84933,0.99913,0.99857,0.995,0.8817,0.58908,0.27377,0.8477,0.000799454,0.000799454,0.000799454
91,2451.72,0.58121,0.32072,0.84966,0.9995,0.99719,0.995,0.87542,0.60738,0.27882,0.86277,0.00079238,0.00079238,0.00079238
92,2484.92,0.58277,0.32038,0.8488,0.99922,0.99875,0.995,0.88313,0.58846,0.2766,0.85218,0.000785307,0.000785307,0.000785307
93,2518.01,0.58271,0.31677,0.85106,0.99798,0.99875,0.99496,0.87617,0.61087,0.28015,0.86254,0.000778233,0.000778233,0.000778233
94,2550.95,0.57635,0.31561,0.84784,0.99662,0.99501,0.99499,0.8819,0.59313,0.27822,0.85648,0.00077116,0.00077116,0.00077116
95,2584.18,0.57478,0.31683,0.84448,0.99905,0.9998,0.995,0.88161,0.58653,0.27685,0.85053,0.000764086,0.000764086,0.000764086
96,2617.06,0.57579,0.32071,0.84912,0.99864,0.99977,0.995,0.87782,0.60456,0.28059,0.85503,0.000757013,0.000757013,0.000757013
97,2649.53,0.56925,0.30958,0.84503,0.99812,0.99974,0.995,0.88592,0.58066,0.27134,0.84926,0.000749939,0.000749939,0.000749939
98,2681.71,0.57029,0.31461,0.8478,0.99868,0.9982,0.995,0.88337,0.57967,0.27153,0.85149,0.000742866,0.000742866,0.000742866
99,2713.34,0.5676,0.31676,0.84955,0.99571,1,0.99499,0.8759,0.61047,0.27659,0.85951,0.000735792,0.000735792,0.000735792
100,2743.47,0.56709,0.3119,0.84258,0.99872,0.99978,0.995,0.8887,0.56456,0.26279,0.84465,0.000728719,0.000728719,0.000728719
101,2776.43,0.56891,0.31064,0.85032,0.99186,1,0.99493,0.86838,0.61184,0.28304,0.86145,0.000721645,0.000721645,0.000721645
