epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1098.11,0.70108,0.39593,0.88017,0.99449,0.99964,0.99485,0.85349,0.66081,0.32953,0.87231,0.00113898,0.00113898,0.00113898
43,1123.87,0.69209,0.39032,0.87902,0.99523,0.99623,0.99487,0.84048,0.69808,0.34464,0.89718,0.00113191,0.00113191,0.00113191
44,1149.66,0.6967,0.38532,0.8767,0.99584,0.99242,0.99474,0.8552,0.68393,0.33871,0.87366,0.00112484,0.00112484,0.00112484
45,1175.64,0.69271,0.38753,0.88219,0.99903,0.9975,0.995,0.85945,0.67386,0.3352,0.87745,0.00111776,0.00111776,0.00111776
46,1201.52,0.67958,0.38398,0.87513,0.99854,0.99802,0.995,0.864,0.65739,0.32587,0.87716,0.00111069,0.00111069,0.00111069
47,1227.68,0.6977,0.39181,0.88192,0.99179,0.9983,0.99447,0.85456,0.66427,0.33697,0.87811,0.00110362,0.00110362,0.00110362
48,1253.64,0.68926,0.38492,0.8837,0.99481,0.99928,0.99499,0.86053,0.66894,0.33371,0.87787,0.00109654,0.00109654,0.00109654
49,1279.85,0.68028,0.37862,0.87831,0.99797,0.99875,0.995,0.86079,0.65223,0.31866,0.87361,0.00108947,0.00108947,0.00108947
50,1305.8,0.68167,0.37761,0.87352,0.99469,0.99527,0.99496,0.85712,0.65067,0.3269,0.87585,0.0010824,0.0010824,0.0010824
51,1332.13,0.67272,0.37564,0.87436,0.99263,0.9975,0.99486,0.85843,0.64667,0.32081,0.8726,0.00107532,0.00107532,0.00107532
52,1358.06,0.66163,0.37591,0.86901,0.99813,0.99913,0.995,0.8697,0.63258,0.31574,0.85921,0.00106825,0.00106825,0.00106825
53,1384.05,0.67222,0.37386,0.87739,0.99714,1,0.995,0.86974,0.6328,0.31876,0.86454,0.00106118,0.00106118,0.00106118
54,1409.83,0.65873,0.36914,0.86515,0.9925,0.99486,0.99496,0.84642,0.69881,0.33755,0.89068,0.0010541,0.0010541,0.0010541
55,1435.72,0.65979,0.3677,0.8745,0.99275,0.99537,0.99461,0.86489,0.62918,0.31702,0.86534,0.00104703,0.00104703,0.00104703
56,1461.68,0.65268,0.36641,0.86646,0.99742,0.99495,0.99495,0.83977,0.70422,0.33553,0.89413,0.00103995,0.00103995,0.00103995
57,1487.7,0.65486,0.36688,0.86822,0.99765,0.99857,0.99499,0.85764,0.64993,0.32114,0.87266,0.00103288,0.00103288,0.00103288
58,1513.8,0.65876,0.36519,0.87365,0.9972,0.99587,0.99499,0.86303,0.63219,0.31209,0.86356,0.00102581,0.00102581,0.00102581
59,1540.16,0.65061,0.35964,0.86793,0.99613,0.99397,0.99494,0.85755,0.65066,0.31682,0.86874,0.00101873,0.00101873,0.00101873
60,1566.37,0.64656,0.36006,0.86797,0.99618,0.99625,0.99491,0.86679,0.62689,0.30889,0.86417,0.00101166,0.00101166,0.00101166
61,1592.41,0.6409,0.35745,0.86824,0.99822,0.99625,0.995,0.87202,0.62254,0.3028,0.86666,0.00100459,0.00100459,0.00100459
62,1618.34,0.64072,0.35983,0.86567,0.99888,0.99776,0.995,0.86709,0.62785,0.3058,0.86111,0.000997513,0.000997513,0.000997513
63,1644.12,0.63532,0.3582,0.86426,0.99527,0.99325,0.9944,0.84405,0.68472,0.31903,0.88821,0.00099044,0.00099044,0.00099044
64,1669.9,0.62976,0.34944,0.86204,0.99552,0.99969,0.99486,0.8664,0.63522,0.30472,0.86544,0.000983366,0.000983366,0.000983366
65,1695.8,0.6289,0.35174,0.8592,0.99516,0.99875,0.995,0.86118,0.64521,0.30828,0.87173,0.000976293,0.000976293,0.000976293
66,1721.75,0.63392,0.35245,0.86506,0.99623,0.99875,0.995,0.86249,0.63384,0.3022,0.86892,0.000969219,0.000969219,0.000969219
67,1747.83,0.63896,0.35372,0.86575,0.99929,0.99875,0.995,0.86133,0.64289,0.30881,0.8688,0.000962146,0.000962146,0.000962146
68,1774,0.63521,0.35253,0.86275,0.99859,0.99611,0.995,0.86339,0.63476,0.30083,0.86242,0.000955072,0.000955072,0.000955072
69,1800.19,0.62504,0.34817,0.86342,0.98945,0.99464,0.99491,0.86028,0.6482,0.31092,0.86569,0.000947999,0.000947999,0.000947999
70,1826.12,0.61934,0.34427,0.85707,0.99853,0.99793,0.99499,0.86869,0.63382,0.30291,0.85916,0.000940925,0.000940925,0.000940925
71,1852.06,0.61935,0.34094,0.85532,0.99915,0.99712,0.995,0.87326,0.60948,0.29687,0.85779,0.000933851,0.000933851,0.000933851
72,1878.04,0.62354,0.34611,0.86683,0.99469,0.9992,0.99488,0.86507,0.63849,0.30241,0.86664,0.000926778,0.000926778,0.000926778
73,1903.95,0.62526,0.34724,0.85648,0.9955,0.99651,0.99499,0.85804,0.65212,0.30201,0.86965,0.000919704,0.000919704,0.000919704
74,1930.02,0.60761,0.33643,0.85481,0.99797,0.99988,0.995,0.86224,0.64071,0.29855,0.86491,0.000912631,0.000912631,0.000912631
75,1955.98,0.60782,0.33941,0.86005,0.99374,0.99499,0.99484,0.86869,0.61136,0.29304,0.85216,0.000905557,0.000905557,0.000905557
76,1982.06,0.61759,0.34082,0.86371,0.99737,0.99989,0.99499,0.87108,0.62182,0.29519,0.86447,0.000898484,0.000898484,0.000898484
77,2008.26,0.59896,0.33416,0.85392,0.99476,0.99966,0.99491,0.87664,0.60676,0.29593,0.85642,0.00089141,0.00089141,0.00089141
78,2034.51,0.60565,0.33538,0.85361,0.99917,1,0.995,0.88162,0.6029,0.28451,0.85357,0.000884337,0.000884337,0.000884337
79,2060.64,0.61545,0.33809,0.86035,0.99638,0.99836,0.9947,0.87682,0.60596,0.2912,0.85784,0.000877263,0.000877263,0.000877263
80,2086.61,0.59659,0.32796,0.85227,0.99624,0.99875,0.99494,0.87781,0.59824,0.2886,0.85741,0.00087019,0.00087019,0.00087019
